id,text,label
230,• Nhân viên sẵn sàng tư vấn giúp đỡ tận tình .,positive
231,"- Nhân viên dễ thương , nói chuyện nhẹ nhàng vô cùng",positive
232,"+ Lẩu dê bình thường , không gì đặc sắc .",negative
233,Thứ 2 : phục vụ thì quá bt,negative
234,quán hơi khó kím một tẹo,negative
235,Họp mặt Bạn bè hay gia đình đều phù hợp .,positive
236,Gia ́ ca ̉ hơ ̣ p li ́ .,positive
237,Quán xa hơn nhà mình .,negative
238,Sợi mỳ thì quá dày .,negative
239,"Hơn nữa thái độ phục vụ k tốt , thiếu thân thiện",negative
240,Quán phù hợp với việc ăn vặt .,positive
241,Không cần xếp hàng hay chờ đợi,positive
242,Điểm trừ dành cho quán :,negative
243,"Không gian đẹp , yên tĩnh , sang trọng lịch sự .",positive
244,Nhất là mực chiên xù thì cháy .,negative
245,"- Đồ ăn được , nêm nếm vừa miệng",negative
246,Sẽ còn quay lại quán,positive
247,"- Nhân viên : cũng được , không ấn tượng nhiều .",positive
248,Cơm trộn không ngon như trước .,negative
249,Cơm cháy thì quá nhiều dầu .,negative
250,- Món nui chua như giấm,negative
251,Mình cảm thấy mình k được tôn trọng ! ! !,negative
252,"Nhân viên rất dễ thương , phục vụ tận tình .",positive
253,Đôi lời góp ý gửi tới TH .,negative
254,Mà mình phủ sốt Tobokki cay quá : (,negative
255,^ ^ Một quán rất đáng thử .,positive
256,Đối với mình món này dở tệ,negative
257,Giá cả mắc so với sinh viên . .,negative
258,mún khóc ròng với quán lun,negative
259,Ăn thấy ko ngon gì hết : (,negative
260,Đồ chua mùi kì kì,negative
261,Thề là ko bao h quay lại nữa,negative
262,Nước uống giá cũng phù hợp,positive
263,Thứ 4 : nhân viên cà lơ phất phơ với khách,negative
264,+ Không nên xem rạp này,negative
265,Sau gần nhà cũng k muốn quay lại .,negative
266,Lần đầu đến và thực sự không ấn tượng mấy :,negative
267,"In short , mình vĩnh biệt nhé , Nomad ơi : *",negative
268,- cuối tuần có các band nhạc,positive
269,Lẩu Thái ở đây rất ngon .,positive
270,Và đây là lần cuối tới quán,negative
271,Món bò udon siêu kì : (,negative
272,"- Quán đẹp , rộng rãi , có cả máy lạnh và wifi",negative
273,Nói chung giá bình dân nhưng chán .,negative
274,Nhất định mình sẽ quay lại !,positive
275,Ngoài ra thì mình hơi thất vọng,negative
276,"Quán trang trí dễ thương , không gian ấm cúng",positive
277,Mình túm gọn thế này nhé :,negative
278,Giá thành đi đôi với chất lượng thôi .,positive
279,Có thể mình sẽ không quay lại quán này .,negative
280,- Lần đầu cũng như lần cuối !,negative
281,Chổ thích hợp ăn uống cùng bạn bè .,positive
282,"Bảo vệ , giữ xe : nhiệt tình thân thiện",positive
283,"Nhừng đồ ăn ngon , giá tạm được !",positive
284,+ Được mang phim theo coi,positive
285,Nói cỡ nào cũng không chịu .,negative
286,- Bò mềm và ướp vừa miệng .,positive
287,Còn điểm trừ thì quá nhiều :,negative
288,"Giá cả cũng k phải là rẻ , bình thường .",negative
289,Giá cả cực thích hợp cho sinh viên chúng tớ .,positive
290,Chất lượng : kem làm ngon . Nhanh,positive
291,- Ko gian quán : Quá nóng,negative
292,Nói chung là ... sẽ ko có lần sau,negative
293,- Phục vụ rất tốt ạ : 3,positive
294,Giá thì cũng ok rồi .,positive
295,Cái hệ thống làm ăn gì lạ đời .,negative
296,Soda được đựng trong chai đẹp mắt .,negative
297,Nhân viên lẫn bà chủ đều như shit .,negative
298,"Món ăn ở đây thật tuyệt ,",positive
299,"  Phục vụ nhanh , nhiệt tình , vui vẻ .",positive
300,  Ly dừa tắc có tóc trong đó !,negative
301,Ở trong chụp ảnh khá ảo .,positive
302,"- Vị trí : ngay mặt đường , dễ thấy dễ tìm",negative
303,Mình sẽ ủng hộ quán lâu dài .,positive
304,Hứa hẹn sẽ Không quay lại,negative
305,"Giữ xe thu phí cao , có chó dữ 😓",negative
306,Điểm + là bán hàng nhanh nhẹn .,positive
307,Nấu đồ ăn mà gớm chết,negative
308,Nem chua rán hà nội 50 ngàn,positive
309,Chúc cafe shop một ngày an lành .,positive
310,view tầng 2 toàn dây điện,negative
311,"Nhà hàng đẹp , rộng rãi , không gian sang trọng .",positive
312,- hàu : mập và phô mai nhiều,negative
313,Đc 1 cái kinh nghiệm đau thương .,negative
314,"- vị trí khá khuất , dễ bị bỏ qua",positive
315,Cơm xào tỏi ngon . Thơm phức .,positive
316,Món ăn ngon và đa dạng .,positive
317,Chú bảo vệ dắt xe siêu cute,positive
318,Hi vọng các bạn rút kinh nghiệm nhé : ),negative
319,"Ở vỉa hè nên thoải mái , mát mẻ",positive
320,  > Bình thường như mọi quán dimsum,positive
321,Chắn chắn sẽ quay lại,positive
322,"Nhân viên lịch sự , lễ phép tư vấn nhiệt tình",positive
323,Được nước tương chấm khá ngon .,negative
324,Nếu dc sẽ quay lại !,positive
325,Fai quay lại quán ăn thui,positive
326,nói chung là ko quay lại lần 2,negative
327,Các bạn phục vụ cần nhanh nhẹn hơn .,positive
328,Chung quy là thái độ phục vụ QUÁ TỆ,negative
329,"- Ưu : siro nhiều , nhìn sạch sẽ vệ sinh .",positive
330,"Nhân viên thì phục vụ chu đáo , nhiệt tình",positive
331,Phục vụ lâu không thể lâu hơn,negative
332,Mấy bạn nhớ tránh xa quán này .,negative
333,Không gian quán khá nhỏ và hơi khó tìm .,negative
334,Thực sự ăn không ngon miệng gì cả .,negative
335,Quán bẩn thỉu . Chả đứa nhân viên nào care .,negative
336,Không gian quán thì cũng tạm ổn .,negative
337,Nói chung là OK lắm nhé !,positive
338,Tương lai sẽ còn ăn dài dài   ) ) ) ) ) ),positive
339,Trân châu hoàng kim cũng k ngon .,negative
340,Ồn ào ! ! ! Muỗi nhiều ! ! ! Nước uống tạm ổn !,negative
341,Cô bé phục vụ khá dễ thương,positive
342,"Nhân viên dễ thương thân thiện , tư vấn nhiệt tình .",positive
343,Làm việc không chuyên nghiệp tí nào : (,negative
344,Tối ở roofboom đẹp lung linh,positive
345,+ Nhân viên phục vụ ko cần khách,negative
346,Lần sau sẽ ăn chỗ khác : D,negative
347,Trà sữa : Pha lạt lẽo quá .,negative
348,"- Quán bé , chỗ ngồi ít ;",negative
349,Quán mới nhưng có nhiều điểm trừ,negative
350,  > Tôi sẽ không bao giờ tới một lần nào nữa ! ! ! ! ! ! ! ! ! !,negative
351,Không thích nhà hàng tiệc cưới này,negative
352,"Quán xập xệ , chả hiểu s tồn tại dc @ @",negative
353,Lúc nào nhân viên cũng tươi cười thân thiện ^ ^,positive
354,- Thái độ phục độ ko ok lắm .,negative
355,Nhưng món ăn thì dở tệ :,negative
356,Gỏi cá trích thì wa mặn,negative
357,"Bạch tuộc chiên quá khét , bánh xèo Nhật ... thất vọng ! ! !",negative
358,"Nhân viên khách sạn nhiệt tình , vui vẻ , dễ thương .",positive
359,Điểm cho nhân viên là 8 +,positive
360,"Nước dừa pha đường , quá ngọt .",negative
361,mún qay lại chơi tiếp,positive
362,+ Trà chanh : rẻ - uống ổn,positive
363,Menu nhiều đồ uống lắm ạ,positive
364,Bánh vừa dỡ vừa mắc,negative
365,Một trạm dừng chân rất tuyệt .,positive
366,Dừa tắc ly bự uống đã,positive
367,Đồ ăn không ngon như mong đợi,negative
368,"- Chỗ ngồi rộng rãi , thoáng mát",positive
369,Đồ ăn thì phục vụ chậm chạp lề mề,negative
370,+ Thịt heo chiên xù và bơ,positive
371,Nói chung là chán khỏi bàn,negative
372,ko bao giờ dám quay lại .,negative
373,Nước   uống ngon và đẹp,positive
374,Vị trí quán không khó tìm .,positive
375,nói chung là không đáng tiền,negative
376,"- Nhân viên : bình thường , không quá nồng nhiệt .",negative
377,Kem thì bị mềm ăn dở òm,negative
378,Đúng là không chấp nhận được,negative
379,Rất thường xuyên đến quán để học,positive
380,Thậm chí tính tiền cũng phải gọi 3 lần .,negative
381,chắc chắn k ăn lần thứ 2 nữa,negative
382,"* Giữ xe free , nhân viên nhiệt tình",positive
383,Sẽ KHÔNG BAO GIỜ quay trở lại quán nữa,negative
384,Sợ 2 con bò luôn,negative
385,Khá thất vọng vs giá tiền bỏ ra ...,negative
386,+ Được chọn Phim theo yêu cầu,positive
387,"Thịt khá tươi , đồ ăn trên line hơi nguội",negative
388,Vị trí quá hơi khó tìm ...,negative
389,Nhân viên phục vụ cũng hok dễ thương .,negative
390,Mình hơi bị thất vọng luôn í,negative
391,mình iu Kontum rùi đấy ^ ^,positive
392,Thật là không bao giờ ghé lần 2,negative
393,"Đồ ăn đa dạng , đúng chất ăn vặt ...",negative
394,Phải nói là ăn như đấm vào mồm : |,negative
395,Có đu đủ ngâm ăn kèm miễn phí : ) ),positive
396,Nói chung rất thích ở đây,positive
397,Đây là toàn bộ hình hộp bánh mình mua .,negative
398,"( - ) Bơ ko béo , Pate không thơm",negative
399,"Không gian mát mẻ , nhìn có vẻ sạch sẽ",positive
400,"Không khí quán nhộn nhịp nhưng dễ chịu : "" )",positive
401,"Quán đông , ồn , trẻ nhỏ con nít nhiều .",negative
402,Rau và dưa leo có chút xíu .,negative
403,Quán hơi khó tìm và không gian hơi nhỏ,negative
404,Đến giờ còn buồn nôn nữa .,negative
405,K thích nữa lúc nào cũng hết bàn : ) ),negative
406,"Đồ ăn bình thường , đồ uống cũng ổn",positive
407,. Bánh mini thì không đặc trưng hương vị,negative
408,Uống để lại nửa ly vì quá ngán : (,negative
409,Quadn nhiều địa điểm tiện lợi hihi,positive
410,Không gian ngay mặt tiền đường mát mẻ,negative
411,Sẽ còn quay lại tiếp,positive
412,Đi cho biết nhưng chắc ko quay lại .,negative
413,"- Giá cả : vừa phải , không quá đắt",positive
414,Thiê ́ t kê ́ đơn gia ̉ n .,positive
415,Rất thất vọng và sẽ ko quay lại : 3,negative
416,"Nước uống được , trân châu không ngon lắm",negative
417,Matcha đúng vị nhật luôn,positive
418,- Âm nhạc : dịu nhẹ dễ nghe,positive
419,đến phần chính là thức uống,positive
420,"Không gian thoáng mát , có wifi .",positive
421,Có 3 khu không gian chính :,positive
422,Món lẩu thì 79k .,positive
423,Chỗ ngồi rộng rãi thoáng mát,positive
424,Kem ở đây thực sự KHÔNG NGON . RẤT CHÁN .,negative
425,Góp ý để PL có thể cải thiện những nhược điểm trên,negative
426,Lâu Cua Riêu Đồng : Hok thích . hơi nhạt nhẽo,negative
427,Chính vì vậy nên tránh xa chi nhánh này ! ! !,negative
428,Đồ uống thì đồng giá 10k khá là mắc,negative
429,"Nhân viên quán cũng vui vẻ , nhiệt tình .",positive
430,Toboki không cay gì cả,negative
431,Sẽ còn tiếp tục ủng hộ dài dài,positive
432,"Không gian rộng nhưng hơi ngộp , nhân viên ko niềm nở",negative
433,"Không gian rộng rãi , deco lịch sự , đơn giản .",positive
434,"Quán đẹp , trang trí lịch sự , nhã nhặn .",positive
435,- Rau củ quả miễn phí     > Tốt,positive
436,Quán có không gian cực kì đẹp,positive
437,Chào tạm biệt và không bao giờ quay lại,negative
438,"Blueberry ngon , hơi ít kem 😔 😔",negative
439,Thật là ngon quá đi thôi heheh,positive
440,Nhân viên thì rất ngoan ngoãn lễ phép .,positive
441,Nói chung ko nên quay lại !,negative
442,"- Tôm luộc hơi sống , thịt còn trong",negative
443,* Sát bên quán cafe Rotary,positive
444,Súp bắc thảo và bánh tráng : OK,positive
445,"Quán khá nhỏ , hơi ẩm thấp",negative
446,Không gian rất đẹp và sang trọng .,positive
447,"Kem ngon , đậm vị trà xanh",positive
448,Nói chung sẽ không quay lại !,negative
449,Nhưng công nhân mắc hơi quá đáng,negative
450,Cơm trộn vẫn ngon như thường ^ ^,negative
451,Quán bày trí khá đẹp,positive
452,"Quán cũng yên tĩnh , bánh thì cute",positive
453,Chất lượng ổn định không đánh mất,positive
454,Rất ko thik những ng tham lam như vậy !,negative
455,Nói chung là ăn cho bik,negative
456,Mình sẽ vẫn ủng hộ shop dài dài ^     ^,positive
457,Thái độ nvien thì cũng nhiệt tình .,positive
458,- nhân viên : rất chu đáo và thân thiện .,positive
459,Món ăn đặc sản và ngon .,positive
460,Mình rất thích quán này .,positive
461,✔ ️ Không gian ấm cúng đúng kiểu gia đình .,positive
462,Giá cả quá cao với chất lượng !,negative
463,"Nước uống ngon , đẹp , giá cả phù hợp",positive
464,Hamburger ở đây cũng ngon .,positive
465,người dân ở đây chân chất giản dị,positive
466,Nhân viên bên đây ôi trời đất ơi luôn,negative
467,Rau câu dừa thơm và ngon ❤ ️,positive
468,  Nói chung nghe lạ lạ đến thử thôi .,negative
469,"P . s : ko đánh giá đc "" điểm 0 "" nhỉ ? ?",negative
470,"Cô chủ quán vui vẻ , niềm nở .",positive
471,Bánh ngon đúng vị Hội An,positive
472,Mình đến vào buổi chiều tối,positive
473,Cơ mà đồ uống ngọt quá ạ ! ! !,negative
474,"Nước ngon , bánh cũng ngon ^ ^",positive
475,Trà đào vs hồng trà dở cực .,negative
476,Đồ uống không có gì đặc biệt .,negative
477,Toilet không vệ sinh và nhỏ xíu .,negative
478,Nhân viên ko thân thiện tẹo nào !,negative
479,Nước tắt pha vừa ý ghê .,positive
480,thích nhất nước chấm ở đây,positive
481,"Gà toàn là bột , cứng .",negative
482,"Kem thì bình thường , ko ngon tẹo nào cả .",negative
483,- bánh mì bơ : tạm . hơi cứng .,negative
484,sẽ ghé lại lần sau,positive
485,- Giá : phù hợp với sinh viên & học sinh .,positive
486,Sẽ ghé tiếp lần sau 😊,positive
487,"Đồ uống ngon , rẻ ( so với chất lượng )",positive
488,+ Cách trang trí món ăn bắt mắt,positive
489,"Đồ ăn thức uống bình thường , khá đầy đủ",negative
490,Cháo và ếch ngon lắm,negative
491,ĐB : Nhân viên thay tẩy liên tục,positive
492,Ngồi chờ làm cực kì lâu .,negative
493,Quán xứng đáng hai chữ tuyệt vời,positive
494,Các món tráng miệng rất ngon .,positive
495,"Món ăn khoai tây thi nguội ngắt , hambuger mềm .",negative
496,Tóm lại là bị ưng < 3,positive
497,Nhưng ko còn ngon nữa,negative
498,Nước uống cũng khá ok,positive
499,Món Thái ở đây rất ổn :,positive
500,"Nước uống pha không ngon , giá cao .",negative
501,Có dịp ghé quán dài dài ^ ^,positive
502,"Ko gian sạch sẽ , thoáng mát",positive
503,Chăc chắn sẽ quay lại,positive
504,Đồ ăn đem ra hơi nguội,negative
505,"Phải vào tận cây dù , XIN thẻ xe",negative
506,Đi ăn thấy mệt ghê,negative
507,  Phục vụ rất tận tình và chu đáo,positive
508,Bạn bè cũng từng bị chém,negative
509,Bếp nhỏ cũng xô bồ và không vệ sinh .,negative
510,Nói chung sẽ không quay lại,negative
511,Nói chung k có lần 2 .,negative
512,Nhân viên thì thơ ơ chứ ko gọi là nhiệt tình,negative
513,"Phục vụ rất dee thương , nhiệt tình",positive
514,Đảm bảo sẽ không làm bạn thất vọng . 👌 🎉 ❤ ️,positive
515,                      + thức ăn lên không khá nhanh .,negative
516,"Mô tả nhìn , nghe , cảm nhận cá nhân .",positive
517,* * * Chắc chắn sẽ k gé lại nữa !,negative
518,Một cảm giác bình yên đến lạ .,positive
519,Món ăn đẹp và ngon .,positive
520,Đi cùng bà xã dùng phủ phê,positive
521,"Cá ko tươi , đặc biệt là cá ngừ , cá trắng .",negative
522,"Trang trí quán rất đẹp , thoáng mát",positive
523,Khanh Casa trên Đồng Khởi siêu tởm í : ) ),negative
524,Sẽ đến mỗi tuần < 3,positive
525,Nói chung là khá là ngon,positive
526,"Cúng dễ thương , nhân viên phục vị tốt .",positive
527,Nhân viên cũng rất nhanh nhẹn nữa . 😍,positive
528,Thôi thì một lần và mãi mãi : ( (,negative
529,Phục vụ hơi lâu,negative
530,Hơi bưc xúc tí ạ,negative
531,. khá đắt đỏ so với sinh viên,negative
532,Có chỗ để xe tiện,positive
533,Trà sữa ít đá nhiều,negative
534,Có nước sâm cực ngon,positive
