id,text,label
79,có nhiều bài vận dụng .,positive
80,độ bao quát kiến thức trong môn học của thầy rất rộng nhưng đưa vào tất cả chỉ trong một môn học thì không thích hợp .,negative
81,đôi lúc chưa đi sâu vào vấn đề giảng dạy .,negative
82,cần giảng kỹ hơn nữa .,negative
83,"bàn giáo viên rất dơ , quạt máy thì chạy như không có chạy , mở chỉ thêm tốn điện , không có mát .",negative
84,"giảng viên nên trao đổi với sinh viên nhiều hơn , giao bài tập và giải thích những thắc mắc của sinh viên về môn học .",negative
85,"nhiệt tình , giảng dễ hiểu , dễ thương .",positive
86,tạo điều kiện cho sinh viên .,positive
87,"giáo viên dạy nhanh , có cái khó hiểu .",negative
88,nhiệt tình và dễ hiểu .,positive
89,cách dạy và nhiều bài tập hay .,positive
90,học sinh luôn thích những giáo viên thân thiện với học sinh để tăng được sự tương tác giữa đôi bên .,negative
91,"cô dạy nhiệt tình nhưng nói qua rất nhỏ , khó nghe .",negative
92,"cập nhật điểm thi giữa kỳ chậm , nên sinh viên không biết mức độ phấn đấu như thế nào !",negative
93,cần chú trọng hơn vấn đề học thực hành phòng máy không đáp ứng yêu cầu doubledot không có trình biên dịch giáo viên thực hành không sử dụng hiệu quả giờ thực hành .,negative
94,em mong có sự thống nhất giữa thầy cô trong quá trình giảng dạy môn này .,negative
95,"giảng viên tận tâm , nhiệt tình , còn trẻ nhưng kiến thức rất tốt .",positive
96,"giảng viên lên lớp đúng giờ , giảng viên tính tình vui vẻ .",positive
97,sử dụng song ngữ nên dễ hiểu .,positive
98,bám sát nội dung chính .,positive
99,tạo nhiều trò chơi giúp sinh viên đỡ thấy nhàm chán .,positive
100,"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",negative
101,"cập nhật tính thời sự trong môn học , cung cấp tài liệu đọc thêm bổ ích .",positive
102,cô quan tâm đến sinh viên và truyền đạt kiến thức rất bổ ích .,positive
103,thầy dạy vô cùng chán và không có tâm huyết .,negative
104,"thầy có tích hợp vừa học vừa chơi làm cho bài học không khô khan , và cô đọng lại , rất dễ hiểu , rất tận tình .",positive
105,cần có khả năng truyền đạt tốt hơn !,negative
106,thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .,negative
107,"cô rất vui vẻ , nhiệt tình , tâm huyết .",positive
108,có phương phát giảng dạy dễ hiểu .,positive
109,rất cần cho việc phát triển sau này .,positive
110,số buổi ôn tập còn ít .,negative
111,"giảng viên nhiệt tình , gần gũi với sinh viên .",positive
112,giảng dạy đúng trọng tâm .,positive
113,"vui tính , nhiệt tình .",positive
114,nên đưa môn wzjwz129 vào giảng dạy ngay sau môn wzjwz130 và trước khi học các môn chuyên ngành .,negative
115,"cô wzjwz62 có phương pháp giảng dạy theo em là phù hợp với đặc thù của môn anh văn , cô luôn tạo ra những hoạt động dạy học đầy hứng thú và luôn bảo đảm kiến thức được truyền tải đến sinh viên một cách tốt nhất , đúng và đầy đủ nhất .",positive
116,máy tính trường nên nâng cấp .,negative
117,"giảng viên nhiệt tình , bài giảng thu hút .",positive
118,tài liệu cung cấp thiếu .,negative
119,"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",positive
120,giảng viên thiếu các bài tập cụ thể để học sinh ứng dụng để nhớ .,negative
121,dạy không phù hợp với cách học của em .,negative
122,thầy cần có tương tác với sinh viên qua mail hay moodle vì có đôi lúc có thắc mắc nhưng thầy không phản hồi .,negative
123,"thầy dạy nhiệt tình , vui vẻ .",positive
124,"chứ không được nói kiểu bài này dễ , tự tìm hiểu là được , có gì không hiểu hỏi .",negative
125,"đề nghị cô xem lại tài liệu giảng dạy của mình , slide nên đầu tư kỹ hơn .",negative
126,"có một thực tế là em học môn nhập môn lập trình ( thực hành  do cô wzjwz256 dạy ) nội dung chương trình lại đi trước , nhanh hơn cả môn học lý thuyết ( không phải do môn thực hành học nhanh hơn mà do môn lý thuyết học chậm hơn ) ?",negative
127,em rất hài lòng về thầy .,positive
128,không có sự thoải mái khi học tập .,negative
129,cô dạy rất nhiệt tình và rất kiên nhẫn với sinh viên .,positive
130,"ít tiết nên sinh viên học có vẻ nhàm chán và khuôn mẫu , nên có thời gian để sinh viên tmf hiểu nhiều hơn .",negative
131,cô dạy nhẹ nhàng không gay gắt hay hung dữ .,positive
132,chương trình học khá nhiều không có thời gian làm bài tập để hiểu hơn về môn học .,negative
133,"đề thi thực hành cần nêu yêu cầu cụ thể , rõ ràng hơn .",negative
134,"những thông tin thầy truyền đạt rất khó hiểu , sinh viên không hình dung được kiến thức đó .",negative
135,thầy luôn tạo cơ hội để sinh viên có thể được thực hành .,positive
136,"thầy wzjwz323 quá tuyệt , em yêu thầy hi hi .",positive
137,"thầy cực kỳ tâm lý , vui tính , dạy nhiệt tình và tận tụy với học trò .",positive
138,"kiến thức nhiều , khó tiếp thu , phân loại chưa rõ .",negative
139,"chữ cô rất xấu , cô dạy khó hiểu , không giải thích về bài thực hành mà chỉ đưa 3 clip rồi bảo sinh viên làm theo .",negative
140,thầy cần hoạt động trao đổi nhiều hơn với sinh viên .,negative
141,"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",negative
142,"cô nhiệt tình giảng dạy , tương tác với sinh viên rất tốt .",positive
143,"cô giảng hay , nhiệt tình .",positive
144,giảng viên nên đến đúng giờ hơn và cho nhiều bài tập hơn .,negative
145,"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",positive
146,có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,positive
147,"thầy dạy nhiệt tình , gần gũi , vui vẻ trong buổi học .",positive
148,cô dạy tốt truyền đạt hay dễ hiểu .,positive
149,thầy wzjwz127 dạy rất nhiệt tình .,positive
150,nhiệt tình và tâm huyết .,positive
151,"nhiệt tình hay giúp đỡ sinh viên khi không biết , cho nhiều bài tập .",positive
152,"cần nâng cấp máy tính trong phòng thực hành , nhiều kit de2 bị lỗi cần sửa chữa hoặc thay mới .",negative
153,sự nhiệt tình chu đáo của cô .,positive
154,"cô giảng khá dễ hiểu , nhiệt tình chạy vòng vòng lớp hướng dẫn từng sinh viên .",positive
155,thầy vui tính dạy dễ hiểu và cung cấp nhiều thông tin hữu ích cho sinh viên .,positive
156,"thầy dạy rất hay , cảm ơn thầy ạ .",positive
157,"chưa giảng dạy nhiều về bài tập , cũng như hướng dẫn sinh viên hướng giải quyết nó .",negative
158,giáo viên có phong cách giảng dạy nghiêm túc .,positive
159,"nội dung thực hành chỉ là copy và paste , chưa tập trung vào nội dung giảng dạy .",negative
160,bài tập cuối kỳ làm quá nhiều .,negative
161,thầy kiểm tra quá nhiều .,negative
162,"môn hơn , giải bài tập ít quá , em không hiểu colonsad .",negative
163,"thầy đưa ra những demo thực tế , giúp sinh viên dễ hiểu .",positive
164,kiến thức giảng rất khó hiểu .,negative
165,thiếu động lực để học tập .,negative
166,em thật sự rất thích phong cách dạy học của cô wzjwz146 .,positive
167,các thành viên dễ gán kết hơn và có trách nhiệm hơn .,negative
168,"thưa , thầy thực sự chuyên tâm trong quá trình giảng dạy và các bài tập thầy đưa rất bổ ích , mang tính thực tiễn .",positive
169,thầy nghiêm khắc khiến học sinh tập trung học hơn .,positive
170,"cần tăng chú ý về kỹ năng cần thiết trong toeic như nghe , đọc .",negative
171,"thầy dạy rất vui , có sự tận tâm trong giảng dạy .",positive
172,giảng viên nên viết bài làm nên bảng sau khi cho sinh viên nên chữa vì chữ các sinh viên nhỏ khiến các sinh viên khác không chép được bài về học .,negative
173,"cô giảng dạy nhiệt tình , dễ hiểu .",positive
174,kiến thức giảng dạy môn tiếng anh hầu như không giúp ích nhiều cho sinh viên trong việc tìm hiểu các tài liệu chuyên ngành .,negative
175,nhưng kiến thức cơ bản còn chưa nắm thì làm sao mà làm được .,negative
176,theo thời khóa biểu hiện nay thì học thực hành trước nên sinh viên lúc thực hành chưa hiểu vấn đề nên khó khăn trong việc làm bài .,negative
177,thầy có cách giảng bài rất hay và dễ hiểu .,positive
178,bài tập về nhà quá ít .,negative
179,thầy dạy nhiệt tình và đúng giờ .,positive
180,cho bài tập cụ thể .,positive
181,cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,negative
182,"giảng viên nhiệt tình , thân thiện .",positive
183,"giảng viên giảng bài chưa hiệu quả , nhiều sinh viên không hiểu bài .",negative
184,nên thống nhất lại nội dung môn học so với cách thi của phòng đào tạo .,negative
185,qua đó sẽ hiểu được thật sâu và rõ những lý thuyết đã được học .,positive
186,"giảng viên có phương pháp giảng dạy hay , cập nhật , phù hợp với sinh viên .",positive
187,"các thắc mắc có thể giải quyết tốt với giáo viên lý thuyết , cho nên không cần phải có thêm 1 giáo viên thực hành .",negative
188,giảng viên dạy rất tận tâm .,positive
189,cần cải tiến trang thiết thực hành .,negative
190,nếu trang thiết bị đã không đáp ứng được thì tại sao trường không tạo điều kiện kéo dây mạng cho sinh viên cắm vào laptop .,negative
191,cập nhật giáo trình chung để giảng dạy môn học .,negative
192,"phương pháp giảng dạy chủ động , giúp sinh viên không chỉ nâng cao kiến thức chuyên môn mà còn cả kỹ năng nghề nghiệp doubledot thuyết trình , tư duy phản biện .",positive
193,mục tiêu môn học nên đặt ra là doubledot sinh viên được giới thiệu những gì .,negative
194,nhưng mà thầy hơi nghiêm khắc và khó tính .,negative
195,giải thích chi tiết bài học hơn .,negative
196,"cần có các thiết bị di động thật để sinh viên thực hành khi cần thiết , vì các chương trình mô phỏng trên máy tính là không đầy đủ .",negative
197,"ngoài ra , nếu được , mong thầy bổ sung các hướng dẫn giải sơ bộ cho các bài tập ( như những môn học khác của thầy đứng lớp ) .",negative
198,dạy rất chi tiết và đầy đủ những kiến thức quan trọng .,positive
199,truyền đạt tốt và dạy chậm giúp sinh viên dễ hiểu .,positive
200,"cô nhiệt tình giảng dạy , vui tính , dễ chịu với sinh viên .",positive
201,"tận tâm nhiệt tình , giảng giải cho sinh viên chưa hiểu tỉ mỉ .",positive
202,cần tập trung giảng dạy những phần có liên quan đến chuyên ngành sau này hơn .,negative
203,"khả năng truyền đạt không tốt , kiến thức chưa đạt .",negative
204,không hướng dẫn làm đồ án .,negative
205,"giảng viên dạy tận tâm , nhiệt tình , lên lớp đúng giờ .",positive
206,"kiến thức thực hành không song song với lý thuyết , một số bài thực hành với kiến thức có khi trước cả khi được học ở lớp lý thuyết .",negative
207,"cô wzjwz73 dạy môn này rất truyền cảm , em rất thích môn này .",positive
208,nên chú trọng hơn về giao tiếp tiếng anh .,negative
209,giảng viên có nhiều phương pháp giảng hay .,positive
210,"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",negative
211,thầy chấm điểm còn cảm tính và có phần chưa công bằng .,negative
212,"vui vẻ , hài hòa , giảng dạy tích cực .",positive
213,"thầy rất vui tính , truyền tải thông tin tuyệt vời .",positive
214,thêm phòng thiết bị để thực hành .,negative
215,cô rất gần gũi với học sinh .,positive
216,"cô dạy rất nhiệt tình , cung cấp thông tin đầy đủ nhưng vẫn tạo điều kiện cho sinh viên tìm hiểu thêm .",positive
217,"thầy rất nhiệt tình và năng động , học thầy có thêm nhiều kiến thức mới không chỉ gói gọn trong nội dung môn học .",positive
218,sự tận tình đối với học viên .,positive
219,có bài soạn cho sinh viên xem trước .,positive
220,"thầy rất tận tình , luôn luôn giúp đỡ , hỗ trợ sinh viên .",positive
221,cô hướng dẫn phương pháp học tập hiệu quả .,positive
222,có đôi chỗ cô hơi khó .,negative
223,thầy sử dụng tiếng anh để sinh viên làm quen tên các thiết bị .,positive
224,giảng viên tạo điều kiện làm nhiều bài tập .,negative
225,nội dung môn học đầy đủ .,positive
226,"về đồ án môn học này , giảng viên nên cho trước bản thiết kế kiến trúc tòa nhà của công ty , trung tâm thương mại .",negative
227,cung cấp nhiều bài tập cho sinh viên tham khảo .,positive
228,"cô rất vui tính nà , không khí lớp lúc nào cũng vui hết , cô dạy rất hay , dễ hiểu !",positive
229,"cần có một phòng máy tốt hơn , hiện đại hơn .",negative
230,"giảng viên hướng dẫn nhiệt tình , chi tiết .",positive
231,"thầy đi dạy luôn đảm bảo thời gian , giải đáp thắc mắc rất nhiệt tình , ra trễ hơn các môn khác từ 15 - 25 phút .",positive
232,"mong rằng những môn có thực hành , giáo viên nên mở chat box và forum cho sinh viên dễ trao đổi với nhau , cũng như nhanh chóng nhận được lời giải đáp thắc mắc từ giáo viên .",negative
233,"phải dừng lại một ít thời gian chỉ để đánh dấu cộng điểm và tính điểm , rối ren .",negative
234,"cung cấp thêm tài liệu , giáo trình môn học .",negative
235,"vui vẻ , hài hòa , tích cực trong giảng dạy .",positive
236,cô tận tình hướng dẫn chỉ bảo .,positive
237,trước khi thi thầy dặn là đề thi có 70% trắc nghiệm nhưng thực tế lại 100% tự luận .,negative
238,thực hành chỉ cần sử dụng hình thức 2 .,negative
239,"em nghĩ thi cuối kỳ môn này , nên thi với hình thức tự luận 100% ạ .",negative
240,"thầy dạy rất nhiệt tình , tâm huyết , dễ hiểu .",positive
241,"thầy giảng rất hay , rất tận tâm với sinh viên .",positive
242,cần có các thiết bị thực hành đầy đủ .,negative
243,giảng viên hài hước nhiệt tình .,positive
244,máy tính cập nhật nhanh hơn .,negative
245,không cứng nhắc trong cách cho điểm .,negative
246,"giảng viên giảng dạy nhiệt tình , dễ hiểu .",positive
247,"nhiệt tình , giải bài tập nhiều .",positive
248,thực sự em vẫn chưa hiểu ngoài việc để làm bài tập thì wireshark được dùng để làm việc gì khác .,negative
249,cần có nền tảng trước khi xây dựng cả một website .,negative
250,cần cho nhiều thời gian để sinh viên có đủ thời gian hoàn thành đồ án môn học .,negative
251,cô dạy slide về lý thuyết hơi nhanh .,negative
252,"thầy tận tâm , nhiệt huyết , giải đáp câu hỏi của sinh viên , có bổ sung tài liệu tham để giúp sinh viên củng cố và nắm vững kiến thức .",positive
253,"em học cảm thấy hơi khó hiểu , cô dạy hơi nhanh .",negative
254,"thầy nghỉ quá nhiều , đây là môn về kinh tế mà thầy làm quá khắt khe .",negative
255,"thầy dạy rất hay , ngắn gọn , tổng quát và dễ hiểu .",positive
256,giáo viên không hướng dẫn sử dụng các tài liệu có hiệu quả và không hướng dẫn làm bài tập mà chỉ sửa bài tập .,negative
257,cần cải thiện hệ thống âm thanh vì đôi lúc gặp trục trặc và không rõ .,negative
258,thầy yêu cầu quá cao đối với một sinh viên có thể tiếp thu mọi kỹ năng cần truyền đạt vào một đồ án .,negative
259,có các phần ôn tập không liên tới bài kiểm tra .,negative
260,đưa thêm các ví dụ trong thực tiễn để sinh viên dễ tiếp thu bài .,negative
261,"người học thì chỉ biết học , lao đầu vào học , mà không hề hay biết những thứ đó bản chất là gì .",negative
262,"giảng viên truyền đạt rất tốt , rất dễ hiểu .",positive
263,"thầy nên đánh giá kỹ hoạt động trên lớp của từng thành viên trong nhóm , ai đóng góp nhiều , nghiêm túc .",negative
264,giảng viên phải chuẩn bị bài giảng trước khi đến lớp hoặc đã là được bài tập đề ra một cách thuần thục và giảng dễ hiểu .,negative
265,cô giảng còn hơi khó hiểu .,negative
266,không khí lớp học thì không được sôi nổi .,negative
267,them nhiều tài liệu và video hướng dẫn .,negative
268,"giảng viên cho bài tập nhiều , đầy đủ .",positive
269,"phương pháp giảng dạy rất hay , nhiệt tình .",positive
270,"hướng dẫn thực hành chưa tận tình , thời gian còn ít .",negative
271,"giảng viên chưa truyền đạt tốt , dạy còn chán , không có sự thu hút trong cách dạy lắm .",negative
272,"cơ sở vật chất phòng wzjwz300 chưa đáp ứng được nhu cầu giảng dạy , cần lắp thêm ổ điện cho giáo viên .",negative
273,thường xuyên nghĩ và phải đi học bù .,negative
274,"thầy dạy tốt , có lượng kiến thức chất lượng cho sinh viên .",positive
275,"mong giáo viên có thể giải tham khảo đề thi các năm , hoặc các dạng câu hỏi của anh văn .",negative
276,giảng viên thực hành rất nhiệt tình và giải đáp được những vấn đề mấu chốt của môn học .,positive
277,làm bài tập nhiều mặc dù không hiểu lắm .,negative
278,"thầy rất nhiệt tình , giảng rất kỹ càng .",positive
279,các code ví dụ không được chiếu hết trên slide .,negative
280,"thầy nên giảng kỹ hơn từng dòng code , từng ký tự , câu lệnh , biến .",negative
281,"thầy giảng ngắn gọn , đầy đủ .",positive
282,hay kể các chuyện liên quan đến thực tiễn giúp bọn em tiếp thu nhanh hơn và cũng có hứng thú trong quá trình học .,positive
283,cách giảng dạy của thầy rất hay và có phần dễ hiễu .,positive
284,"giảng dạy hay , nhiệt tình , dễ hiểu .",positive
285,"kiểu như giảng viên chưa chuẩn bị , chưa từng đọc tới cái đề vậy .",negative
286,"thầy hay hát vu vơ , nghe cũng hay nhưng cũng rất buồn cười .",positive
287,"chú ý giữ sức khỏe , nhất là cổ họng colonsmile .",negative
288,slide còn khá khó hiểu .,negative
289,"giảng viên giảng dạy rất tốt , thường xuyên cung cấp thêm nhiều kiến thức .",positive
290,thầy bằng nhiệt tình tận tụy với sinh viên trong việc hướng dẫn đồ án .,positive
291,không cần phải đi học thực hành trên phòng máy nhiều .,negative
292,thực hành và lý thuyết nên dạy song song .,negative
293,phong cách giảng dạy rất hay .,positive
294,"giáo viên dễ tính , dạy hay .",positive
295,"nội dung thực hành đã cũ , không được đổi mới và không sát với thực tế .",negative
296,thầy không cho làm đồ án .,negative
297,"môn học cần phân chia hợp lý giữa các phần , phần nào khó cần nhiều thời gian để học nó , phần nào đã học thì chỉ ra những điểm đặc biệt cũng như thời gian học phần đó rút ngắn lại để các phần chưa học khác sẽ có thời gian nhiều hơn .",negative
298,"thầy dạy rất nhiệt tình , rất tâm huyết , ôn tập rất kỹ .",positive
299,"nhiệt tình , phương pháp giảng dạy rất hiệu quả cách truyền đạt rất dễ hiểu và dễ tiếp thu biết cách truyền cảm hứng và tạo động lực học tập cho sinh viên .",positive
300,có lúc dạy khó hiểu .,negative
301,"giảng viên nhiệt tình , có kinh nghiệm .",positive
302,"các nội dung môn học thầy triển khai không đúng theo khung , mới vào mà thầy dạy servlet thì rất khó hiểu , sinh viên có góp ý qua thầy chủ nhiệm nhưng vẫn không thay đổi .",negative
303,luôn liên hệ thực tiễn .,positive
304,"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .",negative
305,nội dung môn học nên tập trung vào chuyên ngành học .,negative
306,"thầy nhiệt tình , gần gũi .",positive
307,"slide quá khó hiểu , nhiều chỗ không giải thích rõ ràng , đặc biệt là các bài hướng dẫn thực hành .",negative
308,"giảng viên dạy hay , nhiệt tình và dễ hiểu .",positive
309,"giảng viên hướng dẫn cụ thể , chi tiết .",positive
310,"giảng viên thường hay cho lớp nghỉ , một kỳ nghỉ tới 4 - 5 lần , khả năng truyền đạt cần cải thiện thêm .",negative
311,cô giảng rất nhiệt tình .,positive
312,không truyền được cảm hứng học tập .,negative
313,phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,negative
314,giảng kỹ dễ hiểu minh họa thực tế .,positive
315,cho nhiều kiến thức bổ ích .,positive
316,giáo viên giảng dạy lôi cuốn .,positive
317,"thầy giảng rất hay và dễ hiểu , phong cách dạy độc đáo .",positive
318,sinh viên cần nhiều hơn những bài như vậy .,negative
319,giảng viên rất tận tình !,positive
320,"giáo viên tận tình , dạy truyền đạt tốt .",positive
321,giúp sinh viên cảm thấy thoải mái trong giờ học .,positive
322,tạo điều kiện cho sinh viên làm việc nhóm .,positive
323,micro hay bị hú và rè .,negative
324,"giảng viên nhiệt tình , tận tâm , tích cực trao đổi với sinh viên về kiến thức trong và ngoài chương trình .",positive
325,"kiến thức rộng , kinh nghiệm thực tế nhiều , truyền cảm hứng cho sinh viên .",positive
326,cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .,negative
327,giảng viên ôn thi chuẩn xác .,positive
328,các phòng máy nên được cài đặt phần mềm liên quan đầy đủ hơn .,negative
329,"thầy vui tính , giảng bài hay , đưa nhiều thông tin thực tế vào bài giảng .",positive
330,"thầy dạy hay , vui nhiều phần thầy bồ sung có tính thực tiễn cao .",positive
331,cần tăng cường thêm tài liệu .,negative
332,cải thiện chất lượng phòng máy thực hành .,negative
333,"nên cải tiến hệ thống chấm điểm online , update bài tập cho tất cả học sinh làm rồi có bảng xếp hạng , như bên codefun của miền bắc .",negative
334,cần có các bài tập thực tiễn hơn .,negative
335,như vậy có đảm bảo được chất lượng giảng dạy không .,negative
336,cho làm nhiều bài test .,negative
337,kiến thức của cô chuyên sâu .,positive
338,"cực nhiệt tình , thương sinh viên , giảng dễ hiểu .",positive
339,khả năng tương tác chưa tốt .,negative
340,"giáo viên lên lớp muộn , nghe điện thoại trong lúc lên lớp thường xuyên , nghỉ dạy không thông báo .",negative
341,thẩy wzjwz311 rất vui và nhiệt tình .,positive
342,nhiệt tình giúp đỡ sinh viên .,positive
343,"cần có nhiều tài liệu để học hơn , có các trò chơi để sinh viên dễ hiểu bài hơn .",negative
